"accelRating","age","agilityRating","awareRating","bCVRating","bigHitTrait","birthDay","birthMonth","birthYear","blockShedRating","breakSackRating","breakTackleRating","cITRating","capHit","capReleaseNetSavings","capReleasePenalty","carryRating","catchRating","clutchTrait","college","confRating","contractBonus","contractLength","contractSalary","contractYearsLeft","coverBallTrait","dLBullRushTrait","dLSpinTrait","dLSwimTrait","desiredBonus","desiredLength","desiredSalary","devTrait","draftPick","draftRound","dropOpenPassTrait","durabilityGrade","elusiveRating","experiencePoints","feetInBoundsTrait","fightForYardsTrait","finesseMovesRating","firstName","forcePassTrait","hPCatchTrait","height","highMotorTrait","hitPowerRating","homeState","homeTown","impactBlockRating","injuryLength","injuryRating","injuryType","intangibleGrade","isActive","isFreeAgent","isOnIR","isOnPracticeSquad","jerseyNum","jukeMoveRating","jumpRating","kickAccRating","kickPowerRating","kickRetRating","lBStyleTrait","lastName","leadBlockRating","legacyScore","manCoverRating","passBlockFinesseRating","passBlockPowerRating","passBlockRating","penaltyTrait","physicalGrade","playActionRating","playBallTrait","playRecRating","playerBestOvr","playerSchemeOvr","portraitId","posCatchTrait","position","powerMovesRating","predictTrait","presentationId","pressRating","productionGrade","pursuitRating","qBStyleTrait","reSignStatus","releaseRating","rookieYear","rosterId","routeRunDeepRating","routeRunMedRating","routeRunShortRating","runBlockFinesseRating","runBlockPowerRating","runBlockRating","runStyle","scheme","sensePressureTrait","sizeGrade","skillPoints","specCatchRating","speedRating","spinMoveRating","staminaRating","stiffArmRating","strengthRating","stripBallTrait","tackleRating","teamId","teamSchemeOvr","throwAccDeepRating","throwAccMidRating","throwAccRating","throwAccShortRating","throwAwayTrait","throwOnRunRating","throwPowerRating","throwUnderPressureRating","tightSpiralTrait","toughRating","truckRating","weight","yACCatchTrait","yearsPro","zoneCoverRating","team"
88,25,92,67,69,0,28,1,1994,54,15,65,62,530000,530000,0,63,69,0,"Boise State",51,0,2,1240000,2,3,0,0,0,0,0,0,0,0,64,0,0,75,9987,0,0,30,"Donte",2,0,69,1,52,4,"Rialto",38,0,88,97,70,true,false,false,false,38,82,89,15,20,73,1,"Deayon",10,1,74,35,35,25,1,86,15,1,67,70,70,9175,0,"CB",22,0,13019,58,48,78,0,11,18,2017,544604873,10,10,20,35,35,25,8,8,1,99,0,64,87,78,90,40,54,0,59,778043392,70,10,10,30,15,0,15,26,11,0,78,36,161,0,2,71,"49ers"
79,29,67,93,10,0,11,1,1990,26,12,8,15,3600000,3600000,0,40,25,1,"Stanford",52,0,4,15760000,3,4,0,0,0,0,0,0,3,25,2,0,0,15,909,0,0,10,"David",2,0,77,1,25,46,"Bellevue",91,0,91,97,97,true,false,false,false,66,10,80,36,33,10,1,"DeCastro",90,2247,7,93,95,94,0,91,6,1,18,97,97,5138,0,"RG",10,0,11287,10,69,30,0,11,25,2012,544604874,6,10,20,92,97,95,5,3,1,99,0,24,60,10,90,10,95,0,39,778043392,97,6,6,26,6,0,6,33,14,0,94,10,316,0,7,13,"49ers"
86,28,87,90,32,0,19,3,1991,71,12,21,15,5800000,3450000,4700000,50,45,0,"Auburn",54,7050000,3,10590000,2,4,0,1,1,0,0,0,1,24,2,0,0,36,13071,0,0,89,"Dee",2,0,74,1,76,0,"Odenville",77,0,86,97,80,true,false,false,false,52,40,85,12,14,10,2,"Ford",17,0,60,45,45,45,1,83,6,1,90,87,87,6418,0,"LOLB",83,0,10861,20,52,81,0,11,30,2014,544605051,5,5,15,45,45,45,5,11,1,95,0,20,85,60,86,35,81,1,82,778043392,80,6,6,19,6,0,6,25,16,0,86,24,252,0,5,70,"49ers"
77,25,57,70,18,0,21,2,1994,28,12,8,13,2610000,1390000,1220000,43,33,0,"Stanford",52,4880000,4,4400000,1,4,0,0,0,0,0,0,0,29,2,0,0,14,11925,0,0,15,"Joshua",2,0,77,1,25,46,"Puyallup",83,0,90,97,68,true,false,false,false,65,12,67,20,20,8,1,"Garnett",83,0,12,73,71,75,0,82,6,1,16,70,70,8015,0,"RG",17,0,17669,9,85,28,0,0,15,2016,544605106,5,5,14,74,69,76,5,5,1,99,0,14,62,9,91,16,85,0,38,778043392,68,6,6,22,6,0,6,21,16,0,81,31,305,0,3,14,"49ers"
82,27,75,81,65,0,2,11,1991,16,77,52,15,17730000,10730000,28000000,62,35,0,"E. Illinois",55,35000000,5,60500000,4,4,0,0,0,0,0,0,1,31,3,0,0,47,21830,0,0,10,"Jimmy",2,0,74,1,12,12,"Arlington Heights",10,0,93,97,79,true,false,false,false,10,62,78,10,20,10,1,"Garoppolo",10,793,17,10,10,10,1,89,86,1,22,83,83,6429,0,"QB",10,0,10866,10,64,37,0,11,20,2014,544605107,14,16,17,10,10,10,1,6,3,97,0,25,74,55,93,39,63,0,16,778043392,79,83,82,76,89,1,85,95,84,1,90,42,225,0,5,19,"49ers"
84,28,63,71,10,0,26,11,1990,23,12,5,10,3180000,2660000,520000,35,25,0,"Penn State",51,1040000,2,5200000,1,4,0,0,0,0,0,0,0,0,64,0,0,11,19563,0,0,10,"Garry",2,0,77,0,35,37,"Carlisle",78,0,84,97,65,true,false,false,false,76,10,84,18,17,10,1,"Gilliam",76,68,12,70,72,71,0,81,6,1,13,67,67,7132,0,"RT",10,0,2329,10,85,34,0,0,12,2014,544605131,5,5,10,74,68,74,5,6,1,99,0,12,71,10,79,10,84,0,38,778043392,65,6,6,14,6,0,6,23,11,0,75,15,305,0,5,29,"49ers"
96,28,91,87,82,0,19,11,1990,37,22,74,79,4320000,3700000,1860000,76,87,0,"Texas",57,2480000,4,15750000,3,4,0,0,0,0,0,0,0,17,4,0,0,76,17758,1,0,10,"Marquise",2,0,69,1,15,42,"Lubbock",40,0,86,97,85,true,false,false,false,11,75,95,20,21,83,1,"Goodwin",20,0,18,19,20,32,1,93,6,1,24,85,85,5825,1,"WR",10,0,727,10,65,44,0,11,80,2013,544605159,87,86,85,29,34,51,3,6,1,98,0,84,96,78,90,47,42,0,25,778043392,85,6,10,32,15,0,10,34,18,0,71,38,179,1,6,25,"49ers"
64,37,52,75,10,0,30,12,1981,23,17,17,10,3390000,1960000,1430000,40,15,1,"Penn State",51,1680000,2,3490000,1,4,0,0,0,1390000,1,1950000,1,0,64,0,0,27,49156,0,0,10,"Robbie",2,0,72,0,12,37,"Lock Haven",20,0,90,97,83,true,false,false,false,9,10,27,92,93,10,1,"Gould",15,1836,11,16,16,16,1,93,20,1,19,84,84,1275,0,"K",10,0,27154,10,12,21,0,2,12,2005,544605167,10,10,10,16,16,20,5,3,1,99,0,12,59,10,75,10,25,0,23,778043392,83,25,30,20,35,0,20,29,27,0,65,10,190,0,14,14,"49ers"
89,25,81,64,61,0,9,6,1994,53,15,40,54,620000,580000,120000,60,61,0,"Florida",51,160000,4,2420000,3,3,0,0,0,0,0,0,0,11,7,0,0,50,9173,0,0,44,"Marcell",2,0,72,1,85,8,"Orlando",63,0,82,97,71,true,false,false,false,36,62,81,14,17,45,1,"Harris",22,4,71,35,35,35,1,80,6,1,65,71,71,8912,0,"SS",34,0,13402,71,37,75,0,11,25,2019,544605260,10,10,15,35,35,35,8,8,1,91,0,60,86,62,87,47,59,0,73,778043392,71,6,6,25,6,0,6,35,16,0,80,38,208,0,1,76,"49ers"
90,23,80,52,56,0,23,12,1995,52,30,42,45,0,0,0,61,58,0,"Appalach. St.",50,0,0,0,0,4,0,0,0,0,1,860000,0,0,64,0,0,49,5218,0,1,34,"A.J.",2,0,71,1,72,9,"Hamilton",59,0,93,97,60,true,false,false,true,39,63,79,15,19,35,1,"Howard",10,1,66,35,35,35,1,83,6,1,54,63,63,0,0,"FS",29,0,13709,63,28,70,0,11,18,2019,544605375,6,10,15,35,35,35,8,3,1,90,0,62,89,56,86,35,72,0,68,778043392,60,6,6,22,6,0,6,30,16,0,84,31,203,0,1,62,"49ers"
82,24,77,71,29,0,19,1,1995,75,12,19,24,600000,570000,60000,31,38,0,"Ole Miss",52,120000,4,2360000,2,4,1,0,0,0,0,0,0,15,7,0,0,24,4845,0,0,61,"D.J.",2,0,72,1,78,39,"Greenville",86,0,92,97,68,true,false,false,false,93,25,71,19,23,9,0,"Jones",36,4,20,45,44,45,1,83,6,1,71,74,74,8610,0,"DT",75,0,12824,18,54,78,0,11,14,2017,544605546,5,9,17,45,46,45,13,8,1,91,0,20,71,17,82,32,89,0,79,778043392,68,6,6,18,6,0,6,24,10,0,89,43,321,0,2,27,"49ers"
88,28,80,85,82,0,23,4,1991,33,33,65,77,3670000,2420000,2500000,76,75,0,"Harvard",51,5000000,4,10600000,2,4,0,0,0,0,0,0,2,34,5,0,0,70,8073,1,1,35,"Kyle",2,0,73,1,45,34,"Medina",70,0,93,97,84,true,false,false,false,44,76,89,19,19,45,1,"Juszczyk",92,604,15,38,42,63,2,75,10,1,20,86,86,6869,0,"FB",30,0,1599,20,50,48,0,11,72,2013,544605584,58,66,77,58,61,73,1,3,1,99,0,77,82,72,89,81,79,0,45,778043392,84,10,15,32,20,0,10,35,25,0,87,85,240,0,6,20,"49ers"
89,25,84,92,83,0,9,10,1993,31,18,74,84,630000,560000,140000,81,94,0,"Iowa",57,280000,4,2360000,2,4,0,0,0,0,0,0,2,3,6,0,0,69,4359,0,1,18,"George",2,0,76,1,38,48,"Madison",74,0,88,97,92,true,false,false,false,85,78,91,22,19,10,1,"Kittle",62,500,15,55,56,57,1,81,10,1,35,92,92,8622,1,"TE",20,0,12836,20,63,36,0,11,79,2017,544605646,73,79,84,72,76,79,3,3,1,94,0,85,88,62,89,77,71,0,34,778043392,92,10,15,25,20,0,10,30,14,0,80,78,247,1,2,24,"49ers"
86,24,73,61,29,0,15,5,1995,69,12,26,20,0,0,0,26,23,0,"California",50,0,0,0,0,3,0,0,1,0,1,700000,0,15,8,0,0,28,2121,0,0,67,"James",2,0,75,1,77,8,"Lake Worth",80,0,94,97,66,true,false,false,true,71,33,85,14,15,10,0,"Looney",16,0,23,45,45,45,1,81,6,1,61,66,66,8975,0,"LE",59,0,13418,20,12,75,0,11,15,2019,544605770,5,10,15,45,45,45,5,12,1,90,0,15,76,27,84,31,86,0,77,778043392,66,6,6,19,6,0,6,16,17,0,92,23,287,0,1,28,"49ers"
91,27,87,84,84,0,16,7,1992,35,22,71,83,3440000,2310000,2260000,74,89,0,"Vanderbilt",51,3390000,3,7080000,2,4,0,0,0,0,0,0,1,11,3,1,0,67,4177,1,0,10,"Jordan",2,0,75,0,12,0,"Madison",53,0,93,97,79,true,false,false,false,80,75,88,15,19,45,1,"Matthews",33,30,12,34,36,45,2,89,6,1,18,80,80,6515,0,"WR",10,0,12350,10,12,41,0,11,78,2014,544605849,79,81,83,25,30,53,3,0,1,88,0,85,90,72,94,78,68,0,39,778043392,79,6,10,25,15,0,10,29,22,0,79,67,212,1,5,30,"49ers"
80,25,74,84,10,0,29,8,1994,32,12,11,17,4430000,1580000,8550000,33,28,0,"Notre Dame",52,11400000,4,6930000,3,4,0,0,0,0,0,0,2,10,2,0,0,11,851,0,0,10,"Mike",2,0,80,1,38,37,"Philadephia",84,0,94,97,80,true,false,false,false,69,10,71,12,15,10,1,"McGlinchey",86,0,11,80,84,81,1,87,6,1,20,86,86,8987,0,"RT",10,0,13116,10,55,27,0,11,14,2019,544605912,8,10,15,86,90,92,15,4,1,99,0,15,70,10,86,10,90,0,32,778043392,80,6,6,11,6,0,6,11,15,0,95,22,312,0,1,13,"49ers"
93,27,96,81,81,0,3,5,1992,35,48,86,62,6790000,6290000,1500000,86,73,0,"Ga. Southern",51,2000000,4,26000000,3,4,0,0,0,0,0,0,0,33,4,0,0,87,9728,0,0,10,"Jerick",2,0,69,1,12,9,"Atlanta",49,0,85,97,64,true,false,false,false,28,92,95,22,28,82,1,"McKinnon",51,8,45,39,43,61,1,90,15,1,28,85,85,6521,0,"HB",10,0,12354,30,14,22,2,11,69,2014,544605924,52,60,67,45,39,52,1,6,1,77,0,60,93,78,91,53,73,0,32,778043392,64,40,46,45,48,0,45,57,28,0,87,59,205,0,5,50,"49ers"
93,23,86,70,59,0,16,8,1996,44,10,42,62,790000,600000,570000,63,67,0,"Southern Miss",51,760000,4,2650000,3,4,0,0,0,0,0,0,0,32,4,0,0,63,1061,0,0,36,"Tarvarius",2,0,74,1,82,23,"Quitman",58,0,89,97,74,true,false,false,false,33,67,91,15,11,55,1,"Moore",17,0,75,35,35,35,1,90,15,2,67,75,75,9345,0,"CB",29,0,13261,73,51,71,0,11,18,2019,544605994,11,16,20,35,35,35,8,8,1,96,0,63,94,57,89,26,53,0,66,778043392,74,10,10,26,15,0,15,23,11,0,81,28,200,0,1,74,"49ers"
94,23,85,46,58,0,25,3,1996,47,10,43,33,330000,330000,0,53,54,0,"Tennessee",51,0,2,770000,2,4,0,0,0,0,0,0,0,0,64,0,0,64,4710,0,0,42,"Emmanuel",2,0,71,1,53,32,"Greensboro",51,0,92,97,60,true,false,false,false,39,71,91,11,10,45,1,"Moseley",16,0,71,35,35,10,1,90,6,0,46,64,64,0,0,"CB",37,0,13504,66,45,66,0,11,12,2019,544606006,10,10,20,35,35,18,3,13,1,99,0,61,92,62,89,31,66,0,48,778043392,60,6,6,25,6,0,6,25,11,0,82,25,184,0,1,69,"49ers"
93,23,94,76,85,0,23,10,1995,20,20,75,83,1510000,830000,2040000,75,88,0,"Washington",54,2720000,4,3670000,3,4,0,0,0,0,0,0,1,13,3,0,0,86,486,1,0,10,"Dante",2,0,73,1,17,4,"San Clemente",39,0,88,97,84,true,false,false,false,18,87,94,14,20,88,1,"Pettis",22,0,15,23,27,28,1,91,23,2,15,84,84,9018,1,"WR",10,0,13222,20,36,32,0,11,87,2019,544606193,86,87,84,25,38,45,3,4,1,96,0,87,91,78,91,55,50,0,30,778043392,84,30,34,30,37,0,24,42,20,0,82,34,192,1,1,24,"49ers"
64,25,62,67,15,0,1,6,1994,19,16,9,15,1420000,950000,1880000,40,39,0,"Clemson",51,1970000,5,6400000,4,4,0,0,0,0,0,0,1,30,6,0,0,19,1599,0,0,10,"Bradley",2,0,77,0,15,32,"Concord",22,0,92,97,76,true,false,false,false,5,10,70,86,93,10,1,"Pinion",16,550,15,13,15,25,1,93,25,1,20,80,80,7281,0,"P",10,0,2604,10,12,35,0,11,15,2015,544606206,15,15,15,16,16,29,5,4,1,99,0,15,66,10,85,10,55,0,29,778043392,76,32,42,45,51,0,24,52,30,0,55,15,240,0,4,15,"49ers"
91,22,88,59,71,0,11,11,1996,55,17,61,65,640000,570000,210000,57,70,0,"Kansas State",50,280000,4,2410000,3,3,0,0,0,0,0,0,0,6,6,0,0,75,7022,0,0,37,"D.J.",2,0,69,1,51,4,"Bakersfield",47,0,88,97,71,true,false,false,false,32,76,87,10,14,82,1,"Reed Jr",13,0,74,35,35,35,1,81,6,2,59,71,71,9034,0,"FS",29,0,13159,73,46,78,0,11,14,2019,544606282,11,15,21,35,35,35,13,10,1,75,0,60,90,70,85,42,48,0,61,778043392,71,5,10,30,15,0,6,22,12,0,75,29,188,0,1,82,"49ers"
77,23,57,54,10,0,4,1,1996,20,12,5,15,420000,420000,0,40,33,0,"N.C. State",51,0,2,980000,2,4,0,0,0,0,0,0,0,30,5,0,0,10,1323,0,0,10,"Will",2,0,78,0,23,32,"Burlington",78,0,81,97,63,true,false,false,false,72,10,77,17,14,10,1,"Richardson Jr",80,16,16,72,75,74,1,81,6,1,22,66,66,9037,0,"RT",15,0,13174,10,85,28,0,11,15,2019,544606310,5,5,15,70,74,74,5,3,1,99,0,15,65,10,83,35,84,0,24,778043392,63,6,6,19,6,0,6,16,16,0,83,25,303,0,1,12,"49ers"
80,28,66,82,10,0,9,7,1991,20,12,7,15,6980000,5120000,7440000,22,30,0,"Colorado St.",52,9300000,5,28900000,4,4,0,0,0,0,0,0,1,12,3,0,0,12,4682,0,0,10,"Weston",2,0,76,1,12,16,"Louisville",88,0,92,97,75,true,false,false,false,58,10,75,21,25,10,1,"Richburg",81,250,12,75,76,79,2,87,6,1,15,75,75,6568,0,"C",10,0,12373,10,85,30,0,11,15,2014,544606312,5,5,15,78,73,77,5,2,1,99,0,15,68,10,88,30,89,0,35,778043392,75,6,6,30,6,0,6,30,12,0,87,20,290,0,5,15,"49ers"
88,25,80,56,60,0,14,4,1994,50,15,38,47,460000,460000,0,62,64,0,"Oregon",51,0,2,1060000,2,2,0,0,0,0,0,0,0,0,64,0,0,53,3221,0,0,45,"Tyree",2,0,74,1,81,4,"San Diego",53,0,86,97,64,true,false,false,false,49,73,89,12,18,45,1,"Robinson",10,0,71,33,34,34,1,82,15,0,55,65,65,0,0,"FS",34,0,13812,66,28,73,0,11,22,2019,544606348,10,12,22,33,34,34,8,10,1,99,0,64,88,60,87,39,54,0,64,778043392,64,10,10,25,15,0,15,26,10,0,82,40,202,0,1,71,"49ers"
82,23,73,48,27,1,4,9,1995,77,12,16,26,240000,240000,0,36,48,0,"Ohio",51,0,2,570000,2,4,1,0,1,0,0,0,0,0,64,0,0,21,4639,0,0,65,"Casey",2,0,75,1,80,26,"Omaha",82,0,89,97,63,true,false,false,false,97,14,76,16,17,10,0,"Sayles",32,2,31,45,45,45,1,82,6,1,51,68,68,9283,0,"DT",76,0,12912,18,26,78,0,11,14,2017,544606404,3,7,15,49,49,45,13,8,1,97,0,19,73,10,85,36,87,0,77,778043392,63,6,6,19,6,0,6,28,10,0,86,38,289,0,2,38,"49ers"
82,35,73,87,10,0,30,8,1984,25,12,15,40,8090000,7610000,3090000,61,62,0,"Central Michigan",50,3090000,2,13260000,2,4,0,0,0,0,0,0,1,29,2,0,0,25,42580,0,0,10,"Joe",2,0,77,1,15,21,"Rockford",83,0,90,97,85,true,false,false,false,74,10,78,22,20,10,1,"Staley",85,3350,12,87,85,82,2,87,6,1,10,85,85,2837,0,"LT",10,0,27965,10,60,31,0,11,47,2007,544606566,26,34,44,88,88,84,5,4,1,99,0,30,73,10,94,10,91,0,25,778043392,85,6,6,24,6,0,6,18,15,0,86,10,295,0,12,12,"49ers"
85,24,85,56,77,0,12,4,1995,45,12,47,62,1150000,1150000,0,80,66,0,"Florida State",50,0,1,1150000,1,4,0,0,0,0,0,0,0,0,64,0,0,61,4383,0,1,10,"Freddie",2,0,73,1,60,8,"Bartow",64,0,92,97,68,true,false,false,false,45,77,75,24,25,60,1,"Stevenson",80,7,12,40,45,62,1,71,10,1,16,71,71,8735,0,"FB",10,0,12815,20,50,49,0,11,52,2017,544606575,46,52,65,55,59,66,1,5,1,99,0,57,83,68,86,70,81,0,53,778043392,68,10,15,22,20,0,10,25,10,0,84,79,241,0,2,15,"49ers"
86,22,77,53,41,0,29,3,1997,69,12,26,37,700000,550000,450000,49,46,0,"N.C. State",51,600000,4,2410000,3,3,1,0,1,0,0,0,0,29,5,0,0,33,1585,0,0,74,"Kentavius",2,0,74,1,84,32,"Greenville",82,30,88,97,66,true,false,false,false,95,41,79,15,16,12,0,"Street",33,1,25,45,45,45,1,82,6,0,54,69,69,9069,0,"LE",69,0,13441,21,12,77,0,11,40,2019,544606586,27,31,35,45,45,45,13,11,1,75,0,40,77,32,84,42,89,0,76,778043392,66,6,6,40,6,0,6,26,11,0,86,42,287,0,1,38,"49ers"
92,27,85,83,45,0,18,2,1992,65,15,30,44,3110000,1450000,3320000,62,66,0,"Samford",55,4980000,3,4640000,2,2,0,0,0,0,0,0,1,15,3,0,0,42,10321,0,0,59,"Jaquiski",2,0,73,1,88,0,"Mobile",63,0,92,97,87,true,false,false,false,29,55,83,22,19,35,1,"Tartt",18,4,80,35,35,35,1,84,6,2,83,87,87,7344,0,"SS",44,0,2594,83,78,86,0,11,25,2015,544606623,10,10,20,35,35,35,3,11,1,96,0,62,90,49,87,42,66,0,76,778043392,87,6,6,23,6,0,6,21,15,0,86,57,215,0,4,87,"49ers"
